t;v
10.87229600;0.32877472
10.88347240;0.33156887
10.89450220;0.32119858
10.90561830;0.31122720
10.91786380;0.29832608
10.92774240;0.28936580
10.93881860;0.27727065
10.94986920;0.26859246
10.96106510;0.24402864
10.97221000;0.23168113
10.98377770;0.21974508
10.99414670;0.19569782
11.00524390;0.18442030
11.01650080;0.17378432
11.02764210;0.15583031
11.03873230;0.14254097
11.04982250;0.13412225
11.06099560;0.11771301
11.07225630;0.11168015
11.08330830;0.10693345
11.09448530;0.09611441
11.10585220;0.09560835
11.11667150;0.09607253
11.12772050;0.09323340
11.13915970;0.09467111
11.15007110;0.10146055
11.16127310;0.10065126
11.17240460;0.10215576
11.18339450;0.10858230
11.19456920;0.11013978
11.20576180;0.11244996
11.21687700;0.11582547
11.22791080;0.11648533
11.23910930;0.12191857
11.25002700;0.12469509
11.26130660;0.12221449
11.27252140;0.12780402
11.28339750;0.12174778
11.29468560;0.12244099
11.30585250;0.11503979
11.31696700;0.11347570
11.32807910;0.10952115
11.33912640;0.10062748
11.35011060;0.09834461
11.36115880;0.09264693
11.37235330;0.09078991
11.38360770;0.08366166
11.39487480;0.07833289
11.40607110;0.07024762
11.41718110;0.06472855
11.42841370;0.05619647
11.43957860;0.04891650
11.45092540;0.04704116
11.46182600;0.03923984
11.47288770;0.03024145
11.48408960;0.02769552
11.49640900;0.01841622
11.50631620;0.01851135
11.51754430;0.00918240
11.52857670;0.00465773
11.53966650;0.00337352
11.55071760;-0.00653456
11.56221840;-0.00971453
11.57302560;-0.01890423
11.58408760;-0.02298980
11.59530490;-0.02792111
11.60771220;-0.03603850
11.61735830;-0.03736413
11.62832210;-0.04787051
11.63948050;-0.05003045
11.65068970;-0.05749335
11.66194500;-0.06289239
11.67321440;-0.06879198
11.68400630;-0.07598991
11.69554320;-0.07840833
11.70649830;-0.08689370
11.71873260;-0.09029455
11.72987940;-0.09763640
11.73966870;-0.10233215
11.75079860;-0.10302855
11.76315090;-0.11147222
11.77292300;-0.10706718
11.78394460;-0.11291219
11.79559210;-0.11309129
11.80633750;-0.11330752
11.81732660;-0.11743155
11.82855430;-0.12011684
11.83954720;-0.12011398
11.85058880;-0.12046500
11.86179450;-0.12045717
11.87298080;-0.11961040
11.88387890;-0.11920528
11.89513180;-0.11816462
11.90622090;-0.10968631
11.91728450;-0.11337761
11.92845490;-0.10950170
11.93968890;-0.10376430
11.95093690;-0.10055239
11.96188820;-0.09693987
11.97306300;-0.09662342
11.98425370;-0.09104694
11.99534290;-0.08863292
12.00641630;-0.08549827
12.01750270;-0.08106553
12.02903080;-0.08084726
12.03991410;-0.07325762
12.05088810;-0.07279196
12.06317250;-0.07144674
12.07324330;-0.06749379
12.08413960;-0.06745103
12.09644420;-0.06562156
12.10674940;-0.05947907
12.11751460;-0.06200833
12.12898750;-0.05682704
12.13998160;-0.05894264
12.15121730;-0.05919318
12.16318130;-0.05573618
12.17311670;-0.05605390
12.18407100;-0.05810440
12.19528910;-0.05571601
12.20654980;-0.05683300
12.21755210;-0.05815159
12.22909550;-0.05854717
12.23994840;-0.05962235
12.25076700;-0.05773316
12.26227820;-0.05918330
12.27315490;-0.05417172
12.28420270;-0.05374750
12.29574350;-0.05419312
12.30652460;-0.04642544
12.31750610;-0.04909357
12.32979680;-0.04348473
12.33979140;-0.04344625
12.35070280;-0.04017356
12.36225320;-0.03316645
12.37329970;-0.03056388
12.38419500;-0.02924400
12.39569480;-0.02490065
12.40654410;-0.02358723
12.41753180;-0.01812571
12.42872080;-0.01352620
12.44004500;-0.00814067
12.45303260;-0.00853884
12.46210460;-0.00757030
12.47298420;-0.00683625
12.48416520;-0.00517296
12.49533200;-0.00507387
12.50635430;-0.00733071
12.51740120;-0.00375944
12.52853070;-0.00425454
12.53977340;-0.00186533
12.55073730;-0.00263613
12.56233120;-0.00062657
12.57320570;-0.00001401
12.58420020;-0.00497076
12.59574980;-0.00297665
12.60671010;-0.00816522
12.61752400;-0.00808399
12.63000440;-0.00901610
12.63990990;-0.01460510
12.65071080;-0.01516302
12.66242540;-0.01757708
12.67295540;-0.01439994
12.68411200;-0.01667837
12.69540380;-0.01680360
12.70641270;-0.01510738
12.71757340;-0.01838139
12.72905950;-0.01461566
12.73993620;-0.01703571
12.75104010;-0.01405638
12.76270040;-0.01463463
12.77321940;-0.01397426
12.78430940;-0.00924550
12.79575200;-0.00885133
12.80654380;-0.00687952
12.81756100;-0.00477822
12.82913960;-0.00413877
12.83995940;-0.00420877
12.85094420;-0.00501375
12.86272210;-0.00103739
12.87343110;-0.00497952
12.88434760;-0.00205100
12.89583590;-0.00126709
12.90664170;-0.00230499
12.91759030;-0.00109218
12.92911040;0.00067847
12.93994050;0.00350882
12.95219400;0.00150384
12.96327440;0.00563090
